id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1.41E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,91620,2908,14235,TRUE,22/06/2021 22:03,"Merkel’s mix-and-match 💉⬇

Germany's Chancellor got #Moderna as her second dose after getting #AstraZeneca for her… https://t.co/26GrI2Q0T7","['Moderna', 'AstraZeneca']",TweetDeck,36,72,FALSE
1.42E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,92326,2908,14361,TRUE,14/07/2021 13:49,"Vaccine News 🇷🇺💉🇮🇳

The Sputnik V #COVID19 jab has been approved in #India.

India’s @SerumInstIndia has partnered… https://t.co/JQTpeYfqMI","['COVID19', 'India']",TweetDeck,1,0,FALSE
1.46E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,94043,2942,15473,TRUE,03/11/2021 16:19,"The @WHO has approved @BharatBiotech's COVID-19 vaccine, #Covaxin, for emergency use. 

Studies show that the India… https://t.co/CUcAjnmbqO",['Covaxin'],TweetDeck,1,3,FALSE
1.46E+18,Global Health Strategies,"Nairobi, Kenya","We believe in the power of advocacy & communications to ↑ health & wellbeing around the 🌍, leaving no one behind. Views = ours. Tweets from all offices.",11/10/2010 20:28,94052,2941,15498,TRUE,04/11/2021 18:40,"Yesterday, @WHO granted Emergency Use Listing to #Covaxin, the 8th #COVID19 vaccine to win WHO validation for safet… https://t.co/kQ24il2D6j","['Covaxin', 'COVID19']",TweetDeck,3,7,FALSE
1.37E+18,The Northerner,"Eldoret, Kenya","#COYG
Progress never sleeps",30/11/2019 05:00,150,1153,9826,FALSE,27/02/2021 03:38,I rather he called Putin for #SputnikV  #COVID19 vaccines https://t.co/BqNpIcAylf,"['SputnikV', 'COVID19']",Twitter for Android,0,0,FALSE
1.37E+18,Sophia Lelekivoni Gerald,"Nairobi, Kenya",,15/09/2016 18:36,251,213,136,FALSE,24/03/2021 13:14,It’s been 24hrs since I took my first dose of Covid vaccine jab. I’m perfectly okay no side effects whatsoever so f… https://t.co/0i0AujKkHd,,Twitter for iPhone,0,1,FALSE
1.43E+18,Leshan Kereto,"Narok, Kenya","C-Med Student||Anti-FGM Activist||SRHR||Student leader||
Chairperson @TaretoAfrica ||President @IFPACS1||President @Climsake||UNFPA YAP||Presidential Award",20/12/2019 12:40,1040,3592,1708,FALSE,28/08/2021 08:23,"Vaccines WORK! Go get the jab now.
#VaccinEquity
#CovidVaccine
#COVISHIELD
#Covaxin
@GHS @Amref_Worldwide… https://t.co/3phY66nsQG","['VaccinEquity', 'CovidVaccine', 'COVISHIELD', 'Covaxin']",Twitter for Android,0,0,FALSE
1.38E+18,Kijana ya Nanyuki 🌟,"Nanyuki, Kenya",Business Enthusiast.// Dm for Business./Adverts.// Drawer.// Nanyuki Finest./ MMUST COMRADE.,01/10/2019 05:14,6993,2283,39153,FALSE,30/03/2021 17:08,"🌟Upgrade Drip  yako  na Luku  kali.

✅Call or WhatsApp +25457788909

💥Deliveries done countrywide.
#Tunukiwa444  DP… https://t.co/fnlzMioNIA",['Tunukiwa444'],Twitter for Android,31,42,FALSE
1.37E+18,Bett.Allan,"Nakuru, Kenya",CLINICIAN/DAD/HISTORIAN/AFRICAN. |FB~ bett allan.IG~bett a.l.l.a.n..(blackpanther).YT~ALLAN.MCFC.virgo.,07/06/2020 05:27,33,100,0,FALSE,07/03/2021 18:10,"The Dalai Lama has received his first dose of a coronavirus vaccine.
#COVID19 
#DalaiLama 
#modernavaccine… https://t.co/nHpdj8BmEg","['COVID19', 'DalaiLama', 'modernavaccine']",Twitter for Android,0,1,FALSE
1.37E+18,Miguel Muguchia,"Nakuru, Kenya",Lively | Champion Achiever | Real Estate| Liverpool FC | #YNWA | Conservative | Presbyterian | Meat Pies,20/08/2008 09:05,2510,4508,2779,FALSE,24/03/2021 09:07,PHARMACY and Poisons Board confirms approval for emergency use of Russia’s #SputnikV COVID vaccine in Kenya after tests.,['SputnikV'],Twitter for Android,0,1,FALSE
1.38E+18,BRIAN🐐,"Nakuru, Kenya",🇰🇪 BELIEVER //  PROUD CFC FAN,20/07/2018 11:41,22467,16146,176991,FALSE,30/03/2021 15:07,Send Bulk Message with the fastest SMS Software by @robisearch Reach your customers instantly with a quick &amp; simple… https://t.co/oGeHxdcjqA,,Twitter for Android,15,15,FALSE
1.38E+18,PrinceAlmasaClement,"Nakuru, Kenya",Vivre et laisser vivre,10/07/2011 09:28,87,678,206,FALSE,07/04/2021 10:38,"ONE PERSON DIES AFTER TAKING THE  OXFORD ASTRAZENECA COVID 19 VACCINE JAB

#covid
#covid19kenya
#astrazeneca… https://t.co/WhcetZFTdu","['covid', 'covid19kenya', 'astrazeneca']",Twitter for Android,0,0,FALSE
1.38E+18,PrinceAlmasaClement,"Nakuru, Kenya",Vivre et laisser vivre,10/07/2011 09:28,88,678,206,FALSE,07/04/2021 15:33,ONE PERSON DIES AFTER TAKING THE  OXFORD ASTRAZENECA COVID 19 VACCINE JAB || KENYA PHARMACY AND POISONS BOARD… https://t.co/1jJdho14V3,,Twitter for Android,0,0,FALSE
1.45E+18,Ital lioness Joy,"Nakuru, Kenya",Earth A Run Red,19/01/2017 13:57,17714,11654,137811,FALSE,23/10/2021 09:06,"Book your vaccine today from your nearest health care 
Available Vaccines:
1. #Moderna Vaccine
2. #Pfizer Vaccine
3… https://t.co/Btz6LNhwRQ","['Moderna', 'Pfizer']",Twitter for Android,0,0,FALSE
1.38E+18,🇰🇪AMB. MwalimuJoshua 🇰🇪,"Nakuru, Kenya","Recording and performing Gospel artist. Script writer, teacher and motivational speaker, MC. Check out my new song #NakupaSifa  
https://t.co/me3KQfKI90",25/05/2011 15:51,10777,10800,31318,FALSE,09/04/2021 16:33,#Covid_19 #COVID #vaccinated #COVID19Vaccine #covid19Ke Covid-19 https://t.co/AONBaqdBEV #ASTRO #AstraZeneca… https://t.co/6EzeaTyXaT,"['Covid_19', 'COVID', 'vaccinated', 'COVID19Vaccine', 'covid19Ke', 'ASTRO', 'AstraZeneca']",Twitter Web App,0,0,FALSE
1.39E+18,Katya Nyangi,"Nairobi, Kenya",Marketing Communication • Education Management • PR • Brand • Believer in the power of storytelling,07/08/2011 12:11,335,964,1653,FALSE,22/04/2021 11:34,My Russian side feeling obliged to share :) #SputnikV https://t.co/OhP9mCPDzg,['SputnikV'],Twitter for iPhone,0,0,FALSE
1.40E+18,Makau Ngola,"Nairobi, Kenya","Views, opinions in the tweets are mine.  Re-tweets are not endorsements!",04/08/2011 13:35,178,307,312,FALSE,15/06/2021 15:11,"Kate O’Brien, director of immunizations at the @WHO calls it a “complicated” situation. 37% new #coronavirus cases… https://t.co/qo5D2LDNTt",['coronavirus'],Twitter Web App,1,1,FALSE
1.41E+18,Makau Ngola,"Nairobi, Kenya","Views, opinions in the tweets are mine.  Re-tweets are not endorsements!",04/08/2011 13:35,178,307,312,FALSE,17/06/2021 13:59,#COVID19 #Vaccines from China come under scrutiny after #CostaRica rejected #Sinovac citing it's low #EfficacyRate… https://t.co/M25ii8Uh36,"['COVID19', 'Vaccines', 'CostaRica', 'Sinovac', 'EfficacyRate']",Twitter Web App,1,2,FALSE
1.42E+18,Makau Ngola,"Nairobi, Kenya","Views, opinions in the tweets are mine.  Re-tweets are not endorsements!",04/08/2011 13:35,179,318,326,FALSE,19/07/2021 16:54,Governments of Indonesia and Thailand change #COVID19 #VaccinePolicy from #SinoVac is an efficacy concern. Dale Fis… https://t.co/uoucvre8ao,"['COVID19', 'VaccinePolicy', 'SinoVac']",Twitter Web App,0,0,FALSE
1.43E+18,Makau Ngola,"Nairobi, Kenya","Views, opinions in the tweets are mine.  Re-tweets are not endorsements!",04/08/2011 13:35,181,326,334,FALSE,13/08/2021 09:30,Peru study finds #Sinopharm #COVID19 #vaccine 50.4% effective against infections https://t.co/7xq9EUXpI6,"['Sinopharm', 'COVID19', 'vaccine']",Twitter Web App,0,0,FALSE
1.46E+18,Makau Ngola,"Nairobi, Kenya","Views, opinions in the tweets are mine.  Re-tweets are not endorsements!",04/08/2011 13:35,184,335,358,FALSE,03/11/2021 16:04,"#Covaxin #India #COVID19 vaccine gets @WHO  approval for emergency use, joining other 7 such approved… https://t.co/faBGLy5Yh6","['Covaxin', 'India', 'COVID19']",Twitter Web App,0,0,FALSE
1.38E+18,Weston Murray,"Nairobi, Kenya",I love that feeling of 'I got my own shit together '✌,31/01/2013 07:21,444,430,7524,FALSE,31/03/2021 19:54,"📌Wait for it
#unlockthecountry
#Covid_19
#SputnikV https://t.co/xVNYJ0H3Jf","['unlockthecountry', 'Covid_19', 'SputnikV']",Twitter for Android,0,1,FALSE
1.38E+18,Richard Wanjohi™,"Nairobi, Kenya","Executive Education | Market Research & Insights | Sports Business Insights & Trends Podcast | Music Magpie| Progressive Photographer| Local history,global",10/11/2009 15:38,976,725,4608,FALSE,30/03/2021 09:10,#Covid19 #Vaccines 1. #PfizerBioNTech approved for emergency use in most countries. Efficacy of 95%  &amp; currently ad… https://t.co/Mj2kcY5Y0o,"['Covid19', 'Vaccines', 'PfizerBioNTech']",Hootsuite Inc.,0,0,FALSE
1.38E+18,Richard Wanjohi™,"Nairobi, Kenya","Executive Education | Market Research & Insights | Sports Business Insights & Trends Podcast | Music Magpie| Progressive Photographer| Local history,global",10/11/2009 15:38,976,725,4608,FALSE,30/03/2021 09:15,#Covid19 #Vaccines 2nd vaccine #Moderna currently approved in Switzerland &amp; emergency use in the US/EU. Efficacy at… https://t.co/ngF37h9jN9,"['Covid19', 'Vaccines', 'Moderna']",Hootsuite Inc.,0,0,FALSE
1.38E+18,Richard Wanjohi™,"Nairobi, Kenya","Executive Education | Market Research & Insights | Sports Business Insights & Trends Podcast | Music Magpie| Progressive Photographer| Local history,global",10/11/2009 15:38,976,725,4608,FALSE,30/03/2021 09:50,#Covid19 #Vaccines Currently those available in Kenya are #OxfordAstroZeneca &amp; #SputnikV. The former was made avail… https://t.co/fxFr5hL9dG,"['Covid19', 'Vaccines', 'OxfordAstroZeneca', 'SputnikV']",Hootsuite Inc.,0,0,FALSE
1.38E+18,Richard Wanjohi™,"Nairobi, Kenya","Executive Education | Market Research & Insights | Sports Business Insights & Trends Podcast | Music Magpie| Progressive Photographer| Local history,global",10/11/2009 15:38,976,725,4608,FALSE,30/03/2021 09:35,#Covid19 #Vaccines 5. #SputnikV or Gam-Covid-Vac- has been proposed for emergency use in some countries BUT NOT in… https://t.co/6ytLi3buMc,"['Covid19', 'Vaccines', 'SputnikV']",Hootsuite Inc.,0,0,FALSE
1.37E+18,Arafat Hussein,"Nairobi, Kenya","Husband || Dad

Fans 
⚽ @LFC 
🤼 @JohnCena",27/05/2010 06:45,2800,2298,6932,FALSE,10/03/2021 16:13,"@MOH_Kenya if i get vaccinated can i stop wearing a MASKS 😷.
@WHOKenya @CDCKenya @Amref_Kenya @UNICEFKenya… https://t.co/X9QMeOyNBW",,Twitter for Android,1,1,FALSE
1.37E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,171,564,3221,FALSE,18/03/2021 17:16,"I THINK THIS sounds Well to the Kenyan Ministry of Health 👌
#Covid19 #SputnikV
@russembkenya https://t.co/Ado1bNvbuO","['Covid19', 'SputnikV']",Twitter Web App,1,2,FALSE
1.37E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,171,564,3221,FALSE,18/03/2021 17:10,"If German Supports #SputnikV Vaccine, Then Kenya Should. 

This will save Kenya from the ongoing Scandals relating… https://t.co/sCqfzJGTxJ",['SputnikV'],Twitter Web App,1,1,FALSE
1.38E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,172,564,3245,FALSE,25/03/2021 12:12,"Too Bad... Need for more Vaccine Production the likes of #SputnikV Vaccine among others

#SputnikVaccineInKenya… https://t.co/xSBKUEZ5hp","['SputnikV', 'SputnikVaccineInKenya']",Twitter Web App,1,2,FALSE
1.37E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,172,564,3245,FALSE,24/03/2021 06:17,@sputnikvaccine A true Reflection on the Efficient of the #SputnikV @sputnikvaccine,['SputnikV'],Twitter Web App,1,1,FALSE
1.38E+18,Tim Odiaga,"Nairobi, Kenya",Passionate about Data Science and Sustainable Buildings,23/01/2012 05:07,661,982,2653,FALSE,25/03/2021 16:43,"The dawn of a 21st Century cold war is here. #MedicineRace
#SputnikV #Pfizer #AstraZeneca #Oxford 
#COVID19 #CovidVaccine","['MedicineRace', 'SputnikV', 'Pfizer', 'AstraZeneca', 'Oxford', 'COVID19', 'CovidVaccine']",Twitter Web App,0,1,FALSE
1.38E+18,3neel,"Nairobi, Kenya","https://t.co/Fx50zNow2b-The only place to find great stories worth reading and sharing with friends. We create, curate & aggregate TIMELESS, LIMITLESS CONTENT",12/07/2014 11:20,6906,7189,2108,FALSE,30/03/2021 12:10,SC Ahmednasir Abdullahi and lawyer Donald B Kipkorir  become the 1st  and 2nd Kenyans to receive the COVID-19 Sputn… https://t.co/HSJ4nMSWzj,,Twitter Web App,0,0,FALSE
1.38E+18,3neel,"Nairobi, Kenya","https://t.co/Fx50zNow2b-The only place to find great stories worth reading and sharing with friends. We create, curate & aggregate TIMELESS, LIMITLESS CONTENT",12/07/2014 11:20,6906,7189,2108,FALSE,30/03/2021 12:10,Embassy of the Russian Federation in Kenya says private entity in Kenya imported the Russian vaccine against COVID-… https://t.co/HJMPmhBtAc,,Twitter Web App,1,0,FALSE
1.38E+18,Arafat Hussein,"Nairobi, Kenya","⚽ @LFC 

🤼 @JohnCena",27/05/2010 06:45,2829,2264,8485,FALSE,30/03/2021 19:23,@ahmednasirlaw @sputnikvaccine @DonaldBKipkorir @makaumutua @WehliyeMohamed Ukinilipia #SputnikV full dose will app… https://t.co/vqyG1iPmw9,['SputnikV'],Twitter for Android,0,0,FALSE
1.38E+18,BIG WANG,"Nairobi, Kenya","Buoyant, waggish, efficacious, indefatigable, demiurgic, convivial marketing companion, self-made thousandaire and The Black Stallion that mounts the world.",28/07/2019 18:06,97,369,260,FALSE,01/04/2021 01:52,"Rich and  upper class women, telling regular, average, poor women to be strong and independent....!

Sounds like a… https://t.co/Se4EXJhtKs",,Twitter Web App,0,3,FALSE
1.38E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,180,576,3411,FALSE,31/03/2021 17:51,I don't think there is Authencity to this call? Resist uninvestigated Fact/Propaganda @citizentvkenya… https://t.co/7M8Vl168Gg,,Twitter Web App,1,2,FALSE
1.38E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,180,576,3411,FALSE,31/03/2021 16:06,"Fellow Kenyans, Let's completely refrain from #COVID19 -19 #propagandas 
Kindly, all information concerning… https://t.co/LgFa6sHM8y","['COVID19', 'propagandas']",Twitter Web App,2,3,FALSE
1.38E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,179,576,3411,FALSE,03/04/2021 09:18,Long Live Sputnk V Vaccine #Viva  #SputnikV #WeWantSputnikV @sputnikvaccine @russembkenya https://t.co/SlQapRwzyy,"['Viva', 'SputnikV', 'WeWantSputnikV']",Twitter Web App,1,2,FALSE
1.38E+18,Venus Tv Kenya,"Nairobi, Kenya","Venus TV is the newest channel in Kenya, we are dedicated to entertain our viewers with their favourites music, Block buster movies and latest sports updates.",24/11/2020 12:05,126,5,607,FALSE,08/04/2021 06:58,"Allergic Reaction Risk in Moderna, Pfizer Vaccines.
The U.S. National Institutes of Health said it had begun a mid-… https://t.co/upCov0aLlb",,Twitter Web App,1,1,FALSE
1.38E+18,Tabby njuru,"Nairobi, Kenya",Mtoto wa Mungu,08/06/2013 06:39,84,58,1530,FALSE,09/04/2021 08:09,For all your computers &amp; accessories solutions follow GIIC Enterprises on fb &amp; Ig.0710390109. #FrancisAtwoli… https://t.co/2RQ5Ob0sZ9,['FrancisAtwoli'],Twitter for iPhone,1,1,FALSE
1.39E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,187,615,3861,FALSE,17/05/2021 15:04,"Waiting here in Kenya🇰🇪

Long Live @sputnikvaccine #SputnikV the no.1Efficacy Vaccine Covid-19 #Globally #COVID19… https://t.co/Q5vqnhMxGK","['SputnikV', 'Globally', 'COVID19']",Twitter Web App,1,1,FALSE
1.40E+18,K254 Nairobi News,"Nairobi, Kenya","k254 Nairobi News

K254-Latest Kenyan and World Politics, Business, Health Science, Technology, Life & Style, Entertainment, Latest Music, Special County Report",09/03/2020 08:05,194,644,4145,FALSE,31/05/2021 09:18,Together we are Stronger with Covid-19 Vaccination #SputnikV no. 1 https://t.co/XoGWgdkvUg,['SputnikV'],Twitter Web App,0,0,FALSE
1.41E+18,Renegade,"Nairobi, Kenya",Communication Specialist; citizen of the world,24/04/2009 15:28,593,890,201,FALSE,29/06/2021 18:50,This is the REAL Apertheid. Europe &amp; North American fund Covishield vaccines production in India; fund its supply t… https://t.co/GqtnbXdpi7,,Twitter for Android,0,0,FALSE
1.42E+18,Tim Odiaga,"Nairobi, Kenya",Passionate about Data Science and Sustainable Buildings,23/01/2012 05:07,666,1010,2864,FALSE,16/07/2021 01:46,"#Moderna to join S&amp;P 500, shares jump after hours https://t.co/PygcAIYukU",['Moderna'],Twitter Web App,0,0,FALSE
1.43E+18,Venus Tv Kenya,"Nairobi, Kenya","Venus TV is the newest channel in Kenya, we are dedicated to entertain our viewers with their favourites music, Block buster movies and latest sports updates.",24/11/2020 12:05,228,12,1495,FALSE,01/09/2021 13:34,In a statement on prefectural authorities said a pharmacist found several black particles in one vial upon checking… https://t.co/tN8VAoULth,,Twitter for Android,1,2,FALSE
1.44E+18,3neel,"Nairobi, Kenya","https://t.co/Fx50zNow2b-The only place to find great stories worth reading and sharing with friends. We create, curate & aggregate TIMELESS, LIMITLESS CONTENT",12/07/2014 11:20,7005,7533,2364,FALSE,18/09/2021 06:34,"Kenya receives 200,000 doses of Sinopharm Covid-19 vaccine from China to boost vaccination exercise #Sinopharm… https://t.co/TgEbO25nEJ",['Sinopharm'],Twitter for Android,0,0,FALSE
1.45E+18,Owuor Lawrence,"Nairobi, Kenya","Official Twitter Account for Hon. Owuor Lawrence. A visionary and charismatic leader. An advocate of the youths, A politician and human rights advocate.",16/09/2012 13:32,80,594,20,FALSE,17/10/2021 07:44,Received my 1st Dose of Moderna vaccine today. #Moderna #vaccineSideEffects #vaccination,"['Moderna', 'vaccineSideEffects', 'vaccination']",Twitter for Android,0,1,FALSE
1.38E+18,THE AJ kicks,"Nairobi, Kenya",Hub for all classy& trendy foot wears.. 💯,19/03/2021 07:59,1,12,7,FALSE,03/04/2021 08:27,"""The AJ kicks"" got a wide range of trendy and classy footwear rocked with different array of colors to bring out th… https://t.co/9UdqfoF5ou",,Twitter for Android,1,1,FALSE
1.37E+18,CapitalFM Breaking News,"Nairobi, Kenya",Powered by @CapitalFMKenya,10/10/2012 14:34,151301,43,3,FALSE,24/03/2021 14:02,CAS MWANGANGI says Kenya ready to accept other vaccines like #SputnikV provided they have emergency use authorizati… https://t.co/AhT3Y7QIAM,['SputnikV'],Twitter for iPhone,12,21,FALSE
1.37E+18,CapitalFM Breaking News,"Nairobi, Kenya",Powered by @CapitalFMKenya,10/10/2012 14:34,151301,43,3,FALSE,24/03/2021 08:53,PHARMACY and Poisons Board confirms approval for emergency use of Russia’s #SputnikV COVID vaccine in Kenya after t… https://t.co/NXxozOjQpK,['SputnikV'],Twitter for iPhone,5,7,FALSE
